Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
SMATA,980.00,0.18,997.00,960.10,997.00,590
SMB,"2,525.00",4.99,"2,600.00","2,453.10","2,453.10","2,226"
SMFBS,"1,974.00",3.78,"1,974.00","1,936.00","1,936.00",45
SMH,900.00,0.05,900.00,882.60,882.60,20
SMHL,"1,080.00",-0.77,"1,082.00","1,080.00","1,080.00",153
SMJC,596.00,-0.29,600.00,590.30,597.70,"2,185"
SMPDA,"1,055.70",-0.73,"1,055.70","1,055.70","1,055.70",100
SNLI,520.10,-0.91,528.00,520.00,524.85,"2,163"
SONA,500.00,-0.67,510.00,493.30,493.30,"8,774"
SPC,575.20,0.6,586.00,571.60,571.60,"8,074"
SPDL,422.00,-0.48,432.50,422.00,432.00,"11,431"
SPHL,687.00,-1.76,711.80,687.00,711.80,20
SPIL,852.00,-1.08,870.00,852.00,870.00,62
SPL,930.00,-1.46,943.00,930.00,943.00,"1,059"
SRLI,436.00,0.14,442.00,435.10,438.00,"15,570"
SSHL,301.90,2.43,307.00,297.00,300.60,"119,410"
STC,"5,629.00",1.25,"5,638.00","5,599.00","5,599.90",160
SWBBL,"1,015.00",1.71,"1,039.00",980.00,980.00,"55,473"
SWMF,841.50,-0.01,843.00,841.50,842.00,"1,555"
TAMOR,541.00,-0.54,541.00,540.00,540.00,516
TPC,396.00,-0.13,404.00,396.00,404.00,"1,231"
TRH,"1,018.00",-0.69,"1,018.00","1,018.00","1,018.00",10
TSHL,921.00,-0.08,921.00,921.00,921.00,30
TTL,648.20,9.99,648.20,595.30,595.30,278
TVCL,509.00,0.21,518.00,508.00,518.00,135
UAIL,608.90,-1.28,610.10,607.10,607.10,680
UHEWA,643.00,0.08,648.00,636.00,636.00,818
ULBSL,"3,561.00",-1.99,"3,561.00","3,561.00","3,561.00",10
ULHC,523.00,-1.25,540.20,520.00,540.20,"1,300"
UMHL,560.00,-0.33,562.00,560.00,560.00,"6,967"
UMRH,658.00,0.59,667.20,656.30,667.20,"11,414"
UNHPL,419.30,-0.43,427.80,419.30,421.00,"12,065"
UNLB,"2,405.40",-0.04,"2,460.00","2,405.40","2,454.50",40
UPCL,442.00,0.93,446.70,429.30,429.30,"40,610"
UPPER,214.50,-0.05,218.00,214.20,216.00,"32,490"
USHEC,541.00,1.07,549.00,540.00,540.00,"3,220"
USHL,763.00,4.07,763.00,720.00,720.00,50
USLB,"2,380.00",-8.86,"2,559.20","2,352.00","2,559.20","3,471"
VLUCL,640.20,-0.98,649.00,636.50,636.50,50
WNLB,"2,240.30",-0.06,"2,286.00","2,240.30","2,286.00",82
